time,machine,cycle_id,product,recipe,recipe_ver,mold_id,shot_count,phase,event,t_upper,t_lower,force,position,force_unit
2026-06-01 08:05:45,M-01,CYC-0003,LENS-A,RCP-A,3,MOLD-02,12006,cool,cycle.completed,121.6,117.6,0.0,10.00,kN
2026-06-01 08:06:15,M-01,CYC-0004,LENS-A,RCP-A,3,MOLD-02,12009,preheat,cycle.started,180.8,178.4,0.0,0.00,kN
2026-06-01 08:06:35,M-01,CYC-0004,LENS-A,RCP-A,3,MOLD-02,12009,preheat,process.sample,297.5,295.9,0.0,0.08,kN
2026-06-01 08:06:50,M-01,CYC-0004,LENS-A,RCP-A,3,MOLD-02,12009,soak,process.sample,342.0,339.3,0.0,2.08,kN
2026-06-01 08:07:05,M-01,CYC-0004,LENS-A,RCP-A,3,MOLD-02,12009,press,process.sample,382.9,378.1,511.8,3.94,kN
2026-06-01 08:07:20,M-01,CYC-0004,LENS-A,RCP-A,3,MOLD-02,12009,anneal,process.sample,421.9,415.9,531.0,6.08,kN
2026-06-01 08:07:35,M-01,CYC-0004,LENS-A,RCP-A,3,MOLD-02,12009,cool,process.sample,461.0,457.4,519.2,8.01,kN
2026-06-01 08:07:50,M-01,CYC-0004,LENS-A,RCP-A,3,MOLD-02,12009,cool,cycle.completed,122.0,119.1,0.0,10.00,kN
2026-06-01 08:08:20,M-01,CYC-0005,LENS-A,RCP-A,3,MOLD-02,12012,preheat,cycle.started,179.2,178.3,0.0,0.00,kN
2026-06-01 08:08:40,M-01,CYC-0005,LENS-A,RCP-A,3,MOLD-02,12012,preheat,process.sample,298.3,295.2,0.0,-0.02,kN
2026-06-01 08:08:55,M-01,CYC-0005,LENS-A,RCP-A,3,MOLD-02,12012,soak,process.sample,341.3,340.1,0.0,1.96,kN
2026-06-01 08:09:10,M-01,CYC-0005,LENS-A,RCP-A,3,MOLD-02,12012,press,process.sample,382.5,376.7,530.0,4.09,kN
2026-06-01 08:09:25,M-01,CYC-0005,LENS-A,RCP-A,3,MOLD-02,12012,anneal,process.sample,420.1,414.3,507.2,6.05,kN
2026-06-01 08:09:40,M-01,CYC-0005,LENS-A,RCP-A,3,MOLD-02,12012,cool,process.sample,459.3,458.1,532.3,8.03,kN
2026-06-01 08:09:55,M-01,CYC-0005,LENS-A,RCP-A,3,MOLD-02,12012,cool,cycle.completed,117.2,117.3,0.0,10.00,kN
2026-06-01 08:10:25,M-01,CYC-0006,LENS-A,RCP-A,3,MOLD-02,12015,preheat,cycle.started,181.8,177.6,0.0,0.00,kN
2026-06-01 08:10:45,M-01,CYC-0006,LENS-A,RCP-A,3,MOLD-02,12015,preheat,process.sample,300.2,299.0,0.0,-0.02,kN
2026-06-01 08:11:00,M-01,CYC-0006,LENS-A,RCP-A,3,MOLD-02,12015,soak,process.sample,340.7,336.4,0.0,2.03,kN
2026-06-01 08:11:15,M-01,CYC-0006,LENS-A,RCP-A,3,MOLD-02,12015,press,process.sample,381.0,376.2,526.2,3.99,kN
2026-06-01 08:11:30,M-01,CYC-0006,LENS-A,RCP-A,3,MOLD-02,12015,anneal,process.sample,420.5,414.7,527.5,5.93,kN
2026-06-01 08:11:45,M-01,CYC-0006,LENS-A,RCP-A,3,MOLD-02,12015,cool,process.sample,457.5,452.7,526.9,7.90,kN
2026-06-01 08:12:00,M-01,CYC-0006,LENS-A,RCP-A,3,MOLD-02,12015,cool,cycle.completed,119.5,116.9,0.0,10.00,kN
2026-06-01 08:12:30,M-01,CYC-0007,LENS-A,RCP-A,3,MOLD-02,12018,preheat,cycle.started,180.7,178.2,0.0,0.00,kN
2026-06-01 08:12:50,M-01,CYC-0007,LENS-A,RCP-A,3,MOLD-02,12018,preheat,process.sample,300.4,299.3,0.0,-0.09,kN
2026-06-01 08:13:05,M-01,CYC-0007,LENS-A,RCP-A,3,MOLD-02,12018,soak,process.sample,339.3,335.3,0.0,2.01,kN
2026-06-01 08:13:20,M-01,CYC-0007,LENS-A,RCP-A,3,MOLD-02,12018,press,process.sample,377.1,374.6,510.4,4.04,kN
2026-06-01 08:13:35,M-01,CYC-0007,LENS-A,RCP-A,3,MOLD-02,12018,anneal,process.sample,420.0,418.4,509.2,5.91,kN
2026-06-01 08:13:50,M-01,CYC-0007,LENS-A,RCP-A,3,MOLD-02,12018,cool,process.sample,459.9,457.4,512.9,8.05,kN
2026-06-01 08:14:05,M-01,CYC-0007,LENS-A,RCP-A,3,MOLD-02,12018,cool,cycle.completed,118.6,116.5,0.0,10.00,kN
2026-06-01 08:14:35,M-01,CYC-0008,LENS-A,RCP-A,3,MOLD-02,12021,preheat,cycle.started,178.7,180.0,0.0,0.00,kN
2026-06-01 08:14:55,M-01,CYC-0008,LENS-A,RCP-A,3,MOLD-02,12021,preheat,process.sample,300.2,297.5,0.0,0.01,kN
2026-06-01 08:15:10,M-01,CYC-0008,LENS-A,RCP-A,3,MOLD-02,12021,soak,process.sample,339.0,336.7,0.0,1.97,kN
2026-06-01 08:15:25,M-01,CYC-0008,LENS-A,RCP-A,3,MOLD-02,12021,press,process.sample,378.0,376.6,507.0,3.92,kN
2026-06-01 08:15:40,M-01,CYC-0008,LENS-A,RCP-A,3,MOLD-02,12021,anneal,process.sample,418.3,415.0,527.3,6.07,kN
2026-06-01 08:15:55,M-01,CYC-0008,LENS-A,RCP-A,3,MOLD-02,12021,cool,process.sample,460.5,454.9,524.4,8.07,kN
2026-06-01 08:16:40,M-01,CYC-0009,LENS-A,RCP-A,3,MOLD-02,12024,preheat,cycle.started,179.6,177.1,0.0,0.00,kN
2026-06-01 08:17:00,M-01,CYC-0009,LENS-A,RCP-A,3,MOLD-02,12024,preheat,process.sample,297.2,291.9,0.0,-0.01,kN
2026-06-01 08:17:15,M-01,CYC-0009,LENS-A,RCP-A,3,MOLD-02,12024,soak,process.sample,342.5,339.8,0.0,2.07,kN
2026-06-01 08:17:30,M-01,CYC-0009,LENS-A,RCP-A,3,MOLD-02,12024,press,process.sample,380.7,376.0,523.7,3.91,kN
2026-06-01 08:17:45,M-01,CYC-0009,LENS-A,RCP-A,3,MOLD-02,12024,anneal,process.sample,417.8,413.2,523.0,6.02,kN
2026-06-01 08:18:00,M-01,CYC-0009,LENS-A,RCP-A,3,MOLD-02,12024,cool,process.sample,461.9,456.5,524.7,8.08,kN
2026-06-01 08:18:15,M-01,CYC-0009,LENS-A,RCP-A,3,MOLD-02,12024,cool,cycle.completed,118.2,120.7,0.0,10.00,kN
2026-06-01 08:18:45,M-01,CYC-0010,LENS-A,RCP-A,3,MOLD-02,12027,preheat,cycle.started,179.0,176.6,0.0,0.00,kN
2026-06-01 08:19:05,M-01,CYC-0010,LENS-A,RCP-A,3,MOLD-02,12027,preheat,process.sample,298.0,292.4,0.0,-0.04,kN
2026-06-01 08:19:20,M-01,CYC-0010,LENS-A,RCP-A,3,MOLD-02,12027,soak,process.sample,341.5,336.1,0.0,1.93,kN
2026-06-01 08:19:35,M-01,CYC-0010,LENS-A,RCP-A,3,MOLD-02,12027,press,process.sample,377.7,372.4,528.3,4.06,kN
2026-06-01 08:19:50,M-01,CYC-0010,LENS-A,RCP-A,3,MOLD-02,12027,anneal,process.sample,418.0,414.1,512.0,6.04,kN
2026-06-01 08:20:05,M-01,CYC-0010,LENS-A,RCP-A,3,MOLD-02,12027,cool,process.sample,457.8,454.5,519.1,8.06,kN
2026-06-01 08:20:20,M-01,CYC-0010,LENS-A,RCP-A,3,MOLD-02,12027,cool,cycle.completed,121.6,117.5,0.0,10.00,kN
2026-06-01 08:20:50,M-01,CYC-0011,LENS-A,RCP-A,3,MOLD-02,12030,preheat,cycle.started,180.3,177.1,0.0,0.00,kN
2026-06-01 08:21:10,M-01,CYC-0011,LENS-A,RCP-A,3,MOLD-02,12030,preheat,process.sample,298.8,297.4,0.0,-0.02,kN
2026-06-01 08:21:25,M-01,CYC-0011,LENS-A,RCP-A,3,MOLD-02,12030,soak,process.sample,341.2,339.6,0.0,2.03,kN
2026-06-01 08:21:40,M-01,CYC-0011,LENS-A,RCP-A,3,MOLD-02,12030,press,process.sample,381.7,378.2,528.6,4.07,kN
2026-06-01 08:21:55,M-01,CYC-0011,LENS-A,RCP-A,3,MOLD-02,12030,anneal,process.sample,422.1,419.9,519.5,5.93,kN
2026-06-01 08:22:10,M-01,CYC-0011,LENS-A,RCP-A,3,MOLD-02,12030,cool,process.sample,458.2,453.4,505.7,8.03,kN
2026-06-01 08:22:25,M-01,CYC-0011,LENS-A,RCP-A,3,MOLD-02,12030,cool,cycle.completed,122.3,119.2,0.0,10.00,kN
2026-06-01 08:22:55,M-01,CYC-0012,LENS-A,RCP-A,3,MOLD-02,12033,preheat,cycle.started,180.0,176.1,0.0,0.00,kN
2026-06-01 08:23:15,M-01,CYC-0012,LENS-A,RCP-A,3,MOLD-02,12033,preheat,process.sample,300.9,295.7,0.0,-0.04,kN
2026-06-01 08:23:30,M-01,CYC-0012,LENS-A,RCP-A,3,MOLD-02,12033,soak,process.sample,341.2,339.2,0.0,2.08,kN
2026-06-01 08:23:45,M-01,CYC-0012,LENS-A,RCP-A,3,MOLD-02,12033,press,process.sample,381.8,379.1,517.0,4.09,kN
2026-06-01 08:24:00,M-01,CYC-0012,LENS-A,RCP-A,3,MOLD-02,12033,anneal,process.sample,418.2,414.1,522.1,5.93,kN
2026-06-01 08:24:15,M-01,CYC-0012,LENS-A,RCP-A,3,MOLD-02,12033,cool,process.sample,461.0,457.5,523.7,7.91,kN
2026-06-01 08:24:30,M-01,CYC-0012,LENS-A,RCP-A,3,MOLD-02,12033,cool,cycle.completed,122.2,120.5,0.0,10.00,kN
2026-06-01 08:25:00,M-01,CYC-0013,LENS-A,RCP-A,3,MOLD-02,12036,preheat,cycle.started,179.5,176.5,0.0,0.00,kN
2026-06-01 08:25:20,M-01,CYC-0013,LENS-A,RCP-A,3,MOLD-02,12036,preheat,process.sample,302.4,300.6,0.0,0.07,kN
2026-06-01 08:25:35,M-01,CYC-0013,LENS-A,RCP-A,3,MOLD-02,12036,soak,process.sample,340.2,334.5,0.0,2.02,kN
2026-06-01 08:25:50,M-01,CYC-0013,LENS-A,RCP-A,3,MOLD-02,12036,press,process.sample,378.6,377.4,513.1,3.99,kN
2026-06-01 08:26:05,M-01,CYC-0013,LENS-A,RCP-A,3,MOLD-02,12036,anneal,process.sample,422.9,420.3,520.4,5.94,kN
2026-06-01 08:26:20,M-01,CYC-0013,LENS-A,RCP-A,3,MOLD-02,12036,cool,process.sample,462.7,461.4,510.2,7.95,kN
2026-06-01 08:26:35,M-01,CYC-0013,LENS-A,RCP-A,3,MOLD-02,12036,cool,cycle.completed,120.4,119.0,0.0,10.00,kN
2026-06-01 08:27:05,M-01,CYC-0014,LENS-A,RCP-A,3,MOLD-02,12039,preheat,cycle.started,179.0,177.7,0.0,0.00,kN
2026-06-01 08:27:25,M-01,CYC-0014,LENS-A,RCP-A,3,MOLD-02,12039,preheat,process.sample,299.2,297.1,0.0,0.04,kN
2026-06-01 08:27:40,M-01,CYC-0014,LENS-A,RCP-A,3,MOLD-02,12039,soak,process.sample,342.8,340.2,0.0,2.07,kN
2026-06-01 08:27:55,M-01,CYC-0014,LENS-A,RCP-A,3,MOLD-02,12039,press,process.sample,381.3,376.9,517.4,4.02,kN
2026-06-01 08:28:10,M-01,CYC-0014,LENS-A,RCP-A,3,MOLD-02,12039,anneal,process.sample,418.8,415.4,520.1,6.08,kN
2026-06-01 08:28:25,M-01,CYC-0014,LENS-A,RCP-A,3,MOLD-02,12039,cool,process.sample,460.0,456.7,530.2,8.08,kN
2026-06-01 08:28:40,M-01,CYC-0014,LENS-A,RCP-A,3,MOLD-02,12039,cool,cycle.completed,117.0,118.1,0.0,10.00,kN
2026-06-01 08:29:10,M-01,CYC-0015,LENS-A,RCP-A,3,MOLD-02,12042,preheat,cycle.started,181.1,179.3,0.0,0.00,kN
2026-06-01 08:29:30,M-01,CYC-0015,LENS-A,RCP-A,3,MOLD-02,12042,preheat,process.sample,299.1,297.0,0.0,0.07,kN
2026-06-01 08:29:45,M-01,CYC-0015,LENS-A,RCP-A,3,MOLD-02,12042,soak,process.sample,341.2,335.8,0.0,2.06,kN
2026-06-01 08:30:00,M-01,CYC-0015,LENS-A,RCP-A,3,MOLD-02,12042,press,process.sample,381.5,379.9,514.4,4.00,kN
2026-06-01 08:30:15,M-01,CYC-0015,LENS-A,RCP-A,3,MOLD-02,12042,anneal,process.sample,420.2,418.7,526.0,5.97,kN
2026-06-01 08:30:30,M-01,CYC-0015,LENS-A,RCP-A,3,MOLD-02,12042,cool,process.sample,457.0,455.7,510.6,7.96,kN
2026-06-01 08:30:45,M-01,CYC-0015,LENS-A,RCP-A,3,MOLD-02,12042,cool,cycle.completed,119.4,120.0,0.0,10.00,kN
2026-06-01 08:31:15,M-01,CYC-0016,LENS-A,RCP-A,3,MOLD-02,12045,preheat,cycle.started,178.1,180.0,0.0,0.00,kN
2026-06-01 08:31:35,M-01,CYC-0016,LENS-A,RCP-A,3,MOLD-02,12045,preheat,process.sample,301.2,299.5,0.0,-0.03,kN
2026-06-01 08:31:50,M-01,CYC-0016,LENS-A,RCP-A,3,MOLD-02,12045,soak,process.sample,339.0,337.7,0.0,1.90,kN
2026-06-01 08:32:05,M-01,CYC-0016,LENS-A,RCP-A,3,MOLD-02,12045,press,process.sample,381.9,379.4,532.2,3.90,kN
2026-06-01 08:32:20,M-01,CYC-0016,LENS-A,RCP-A,3,MOLD-02,12045,anneal,process.sample,420.6,414.9,513.8,5.96,kN
2026-06-01 08:32:35,M-01,CYC-0016,LENS-A,RCP-A,3,MOLD-02,12045,cool,process.sample,460.4,458.7,524.1,8.03,kN
2026-06-01 08:32:50,M-01,CYC-0016,LENS-A,RCP-A,3,MOLD-02,12045,cool,cycle.completed,118.1,120.3,0.0,10.00,kN
2026-06-01 08:33:20,M-01,CYC-0017,LENS-A,RCP-A,3,MOLD-02,12048,preheat,cycle.started,180.7,178.8,0.0,0.00,kN
2026-06-01 08:33:40,M-01,CYC-0017,LENS-A,RCP-A,3,MOLD-02,12048,preheat,process.sample,299.1,294.4,0.0,-0.02,kN
2026-06-01 08:33:55,M-01,CYC-0017,LENS-A,RCP-A,3,MOLD-02,12048,soak,process.sample,341.9,339.5,0.0,1.90,kN
2026-06-01 08:34:10,M-01,CYC-0017,LENS-A,RCP-A,3,MOLD-02,12048,press,process.sample,382.3,379.6,513.5,3.96,kN
2026-06-01 08:34:25,M-01,CYC-0017,LENS-A,RCP-A,3,MOLD-02,12048,anneal,process.sample,418.2,416.3,515.4,6.04,kN
2026-06-01 08:34:40,M-01,CYC-0017,LENS-A,RCP-A,3,MOLD-02,12048,cool,process.sample,462.2,456.7,530.6,8.07,kN
2026-06-01 08:34:55,M-01,CYC-0017,LENS-A,RCP-A,3,MOLD-02,12048,cool,cycle.completed,121.8,117.9,0.0,10.00,kN
2026-06-01 08:35:25,M-01,CYC-0018,LENS-A,RCP-A,3,MOLD-02,12051,preheat,cycle.started,181.5,179.8,0.0,0.00,kN
2026-06-01 08:35:45,M-01,CYC-0018,LENS-A,RCP-A,3,MOLD-02,12051,preheat,process.sample,299.4,293.8,0.0,-0.05,kN
2026-06-01 08:36:00,M-01,CYC-0018,LENS-A,RCP-A,3,MOLD-02,12051,soak,process.sample,341.7,335.8,0.0,2.09,kN
2026-06-01 08:36:15,M-01,CYC-0018,LENS-A,RCP-A,3,MOLD-02,12051,press,process.sample,378.8,376.5,513.8,4.09,kN
2026-06-01 08:36:30,M-01,CYC-0018,LENS-A,RCP-A,3,MOLD-02,12051,anneal,process.sample,420.3,417.2,515.2,5.96,kN
2026-06-01 08:36:45,M-01,CYC-0018,LENS-A,RCP-A,3,MOLD-02,12051,cool,process.sample,459.9,454.5,509.5,7.93,kN
2026-06-01 08:37:00,M-01,CYC-0018,LENS-A,RCP-A,3,MOLD-02,12051,cool,cycle.completed,121.2,116.0,0.0,10.00,kN
2026-06-01 08:37:30,M-01,CYC-0019,LENS-A,RCP-A,3,MOLD-02,12054,preheat,cycle.started,178.9,178.9,0.0,0.00,kN
2026-06-01 08:37:50,M-01,CYC-0019,LENS-A,RCP-A,3,MOLD-02,12054,preheat,process.sample,297.5,293.5,0.0,-0.01,kN
2026-06-01 08:38:05,M-01,CYC-0019,LENS-A,RCP-A,3,MOLD-02,12054,soak,process.sample,337.7,334.9,0.0,1.91,kN
2026-06-01 08:38:20,M-01,CYC-0019,LENS-A,RCP-A,3,MOLD-02,12054,press,process.sample,380.0,376.1,511.0,4.04,kN
2026-06-01 08:38:35,M-01,CYC-0019,LENS-A,RCP-A,3,MOLD-02,12054,anneal,process.sample,422.7,418.2,511.4,5.99,kN
2026-06-01 08:38:50,M-01,CYC-0019,LENS-A,RCP-A,3,MOLD-02,12054,cool,process.sample,460.0,458.2,508.5,8.05,kN
2026-06-01 08:39:05,M-01,CYC-0019,LENS-A,RCP-A,3,MOLD-02,12054,cool,cycle.completed,121.2,118.7,0.0,10.00,kN
2026-06-01 08:39:35,M-01,CYC-0020,LENS-A,RCP-A,3,MOLD-02,12057,preheat,cycle.started,181.3,177.0,0.0,0.00,kN
2026-06-01 08:39:55,M-01,CYC-0020,LENS-A,RCP-A,3,MOLD-02,12057,preheat,process.sample,301.8,296.4,0.0,0.05,kN
2026-06-01 08:40:10,M-01,CYC-0020,LENS-A,RCP-A,3,MOLD-02,12057,soak,process.sample,338.3,336.6,0.0,2.08,kN
2026-06-01 08:40:25,M-01,CYC-0020,LENS-A,RCP-A,3,MOLD-02,12057,press,process.sample,377.9,374.3,527.1,3.98,kN
2026-06-01 08:40:40,M-01,CYC-0020,LENS-A,RCP-A,3,MOLD-02,12057,anneal,process.sample,422.3,417.1,522.3,5.94,kN
2026-06-01 08:40:55,M-01,CYC-0020,LENS-A,RCP-A,3,MOLD-02,12057,cool,process.sample,462.0,456.0,529.2,8.03,kN
2026-06-01 08:41:40,M-01,CYC-0021,LENS-A,RCP-A,3,MOLD-02,12060,preheat,cycle.started,179.8,179.3,0.0,0.00,kN
2026-06-01 08:42:00,M-01,CYC-0021,LENS-A,RCP-A,3,MOLD-02,12060,preheat,process.sample,302.9,298.7,0.0,-0.09,kN
2026-06-01 08:42:15,M-01,CYC-0021,LENS-A,RCP-A,3,MOLD-02,12060,soak,process.sample,338.0,332.2,0.0,1.91,kN
2026-06-01 08:42:30,M-01,CYC-0021,LENS-A,RCP-A,3,MOLD-02,12060,press,process.sample,379.6,375.8,525.2,3.97,kN
2026-06-01 08:42:45,M-01,CYC-0021,LENS-A,RCP-A,3,MOLD-02,12060,anneal,process.sample,418.4,415.1,529.0,5.99,kN
2026-06-01 08:43:00,M-01,CYC-0021,LENS-A,RCP-A,3,MOLD-02,12060,cool,process.sample,460.9,457.8,531.3,8.08,kN
2026-06-01 08:43:15,M-01,CYC-0021,LENS-A,RCP-A,3,MOLD-02,12060,cool,cycle.completed,117.0,116.5,0.0,10.00,kN
2026-06-01 08:43:45,M-01,CYC-0022,LENS-A,RCP-A,3,MOLD-02,12063,preheat,cycle.started,181.7,177.9,0.0,0.00,kN
2026-06-01 08:44:05,M-01,CYC-0022,LENS-A,RCP-A,3,MOLD-02,12063,preheat,process.sample,299.5,294.1,0.0,0.06,kN
2026-06-01 08:44:20,M-01,CYC-0022,LENS-A,RCP-A,3,MOLD-02,12063,soak,process.sample,339.9,336.8,0.0,2.07,kN
2026-06-01 08:44:35,M-01,CYC-0022,LENS-A,RCP-A,3,MOLD-02,12063,press,process.sample,380.0,378.2,513.1,3.97,kN
2026-06-01 08:44:50,M-01,CYC-0022,LENS-A,RCP-A,3,MOLD-02,12063,anneal,process.sample,418.7,417.4,511.6,6.00,kN
2026-06-01 08:45:05,M-01,CYC-0022,LENS-A,RCP-A,3,MOLD-02,12063,cool,process.sample,461.1,457.4,529.7,7.96,kN
2026-06-01 08:45:20,M-01,CYC-0022,LENS-A,RCP-A,3,MOLD-02,12063,cool,cycle.completed,120.0,119.9,0.0,10.00,kN
2026-06-01 08:45:50,M-01,CYC-0023,LENS-A,RCP-A,3,MOLD-02,12066,preheat,cycle.started,179.5,177.9,0.0,0.00,kN
2026-06-01 08:46:10,M-01,CYC-0023,LENS-A,RCP-A,3,MOLD-02,12066,preheat,process.sample,302.6,297.5,0.0,-0.06,kN
2026-06-01 08:46:25,M-01,CYC-0023,LENS-A,RCP-A,3,MOLD-02,12066,soak,process.sample,342.4,341.4,0.0,1.92,kN
2026-06-01 08:46:40,M-01,CYC-0023,LENS-A,RCP-A,3,MOLD-02,12066,press,process.sample,381.9,377.7,509.6,4.05,kN
2026-06-01 08:46:55,M-01,CYC-0023,LENS-A,RCP-A,3,MOLD-02,12066,anneal,process.sample,419.5,417.8,525.6,6.07,kN
2026-06-01 08:47:10,M-01,CYC-0023,LENS-A,RCP-A,3,MOLD-02,12066,cool,process.sample,459.1,458.0,505.9,7.92,kN
2026-06-01 08:47:25,M-01,CYC-0023,LENS-A,RCP-A,3,MOLD-02,12066,cool,cycle.completed,121.0,119.5,0.0,10.00,kN
2026-06-01 08:47:55,M-01,CYC-0024,LENS-A,RCP-A,3,MOLD-02,12069,preheat,cycle.started,179.7,176.6,0.0,0.00,kN
2026-06-01 08:48:15,M-01,CYC-0024,LENS-A,RCP-A,3,MOLD-02,12069,preheat,process.sample,301.9,297.0,0.0,0.01,kN
2026-06-01 08:48:30,M-01,CYC-0024,LENS-A,RCP-A,3,MOLD-02,12069,soak,process.sample,338.6,335.2,0.0,1.99,kN
2026-06-01 08:48:45,M-01,CYC-0024,LENS-A,RCP-A,3,MOLD-02,12069,press,process.sample,379.1,376.8,513.7,4.04,kN
2026-06-01 08:49:00,M-01,CYC-0024,LENS-A,RCP-A,3,MOLD-02,12069,anneal,process.sample,418.0,414.7,509.9,6.00,kN
2026-06-01 08:49:15,M-01,CYC-0024,LENS-A,RCP-A,3,MOLD-02,12069,cool,process.sample,458.7,455.2,530.3,8.00,kN
2026-06-01 08:49:30,M-01,CYC-0024,LENS-A,RCP-A,3,MOLD-02,12069,cool,cycle.completed,120.5,117.4,0.0,10.00,kN
2026-06-01 08:50:00,M-01,CYC-0025,LENS-A,RCP-A,3,MOLD-02,12072,preheat,cycle.started,179.5,179.1,0.0,0.00,kN
2026-06-01 08:50:20,M-01,CYC-0025,LENS-A,RCP-A,3,MOLD-02,12072,preheat,process.sample,301.0,298.1,0.0,-0.01,kN
2026-06-01 08:50:35,M-01,CYC-0025,LENS-A,RCP-A,3,MOLD-02,12072,soak,process.sample,342.4,336.6,0.0,2.05,kN
2026-06-01 08:50:50,M-01,CYC-0025,LENS-A,RCP-A,3,MOLD-02,12072,press,process.sample,381.3,377.9,509.3,4.08,kN
2026-06-01 08:51:05,M-01,CYC-0025,LENS-A,RCP-A,3,MOLD-02,12072,anneal,process.sample,422.6,420.6,524.4,6.09,kN
2026-06-01 08:51:20,M-01,CYC-0025,LENS-A,RCP-A,3,MOLD-02,12072,cool,process.sample,457.2,452.3,505.2,8.08,kN
2026-06-01 08:51:35,M-01,CYC-0025,LENS-A,RCP-A,3,MOLD-02,12072,cool,cycle.completed,120.6,119.4,0.0,10.00,kN
2026-06-01 08:52:05,M-01,CYC-0026,LENS-A,RCP-A,3,MOLD-02,12075,preheat,cycle.started,178.9,176.1,0.0,0.00,kN
2026-06-01 08:52:25,M-01,CYC-0026,LENS-A,RCP-A,3,MOLD-02,12075,preheat,process.sample,297.6,292.8,0.0,-0.05,kN
2026-06-01 08:52:40,M-01,CYC-0026,LENS-A,RCP-A,3,MOLD-02,12075,soak,process.sample,341.5,336.2,0.0,1.99,kN
2026-06-01 08:52:55,M-01,CYC-0026,LENS-A,RCP-A,3,MOLD-02,12075,press,process.sample,382.7,379.6,527.4,4.07,kN
2026-06-01 08:53:10,M-01,CYC-0026,LENS-A,RCP-A,3,MOLD-02,12075,anneal,process.sample,421.4,419.4,516.4,6.06,kN
2026-06-01 08:53:25,M-01,CYC-0026,LENS-A,RCP-A,3,MOLD-02,12075,cool,process.sample,461.8,456.6,508.2,8.05,kN
2026-06-01 08:53:40,M-01,CYC-0026,LENS-A,RCP-A,3,MOLD-02,12075,cool,cycle.completed,119.5,120.7,0.0,10.00,kN
2026-06-01 08:54:10,M-01,CYC-0027,LENS-A,RCP-A,3,MOLD-02,12078,preheat,cycle.started,178.3,178.8,0.0,0.00,kN
2026-06-01 08:54:30,M-01,CYC-0027,LENS-A,RCP-A,3,MOLD-02,12078,preheat,process.sample,297.0,292.2,0.0,-0.09,kN
2026-06-01 08:54:45,M-01,CYC-0027,LENS-A,RCP-A,3,MOLD-02,12078,soak,process.sample,339.0,334.3,0.0,1.91,kN
